charge_min,charge_max,maximum_length,max_var_mods,missed_cleavages,num_var_mods,search_space
1,5,35,3,2,0,2892936
1,5,35,3,2,1,6102948
1,5,35,3,2,2,8088084
1,5,35,3,2,3,11826828
1,5,35,3,2,4,18989932
1,5,35,3,2,5,32119228
1,5,35,3,2,6,59733192
1,5,35,3,2,7,93096272
1,5,35,3,2,8,116678288
1,5,35,3,2,9,136555120
1,5,35,3,2,10,161725960
1,5,35,3,2,11,214773292
1,5,35,3,2,12,292583644
1,5,35,3,2,13,365073580
1,5,35,3,2,14,467973944
1,5,35,3,2,15,561996828
1,5,35,3,2,16,692506324
1,5,35,3,2,17,810152500
1,5,35,3,2,18,940172748
1,5,35,3,2,19,1083109924
1,5,35,3,2,20,1239506884
1,5,35,3,2,21,1409906484
1,5,35,3,2,22,1594851580
1,5,35,3,2,23,1794885028
1,5,35,3,2,24,2010549684
1,5,35,3,2,25,2242388404
1,5,35,3,2,26,2465006568
2,5,35,3,2,0,2169702
2,5,35,3,2,1,4577211
2,5,35,3,2,2,6066063
2,5,35,3,2,3,8870121
2,5,35,3,2,4,14242449
2,5,35,3,2,5,24089421
2,5,35,3,2,6,44799894
2,5,35,3,2,7,69822204
2,5,35,3,2,8,87508716
2,5,35,3,2,9,102416340
2,5,35,3,2,10,121294470
2,5,35,3,2,11,161079969
2,5,35,3,2,12,219437733
2,5,35,3,2,13,273805185
2,5,35,3,2,14,350980458
2,5,35,3,2,15,421497621
2,5,35,3,2,16,519379743
2,5,35,3,2,17,607614375
2,5,35,3,2,18,705129561
2,5,35,3,2,19,812332443
2,5,35,3,2,20,929630163
2,5,35,3,2,21,1057429863
2,5,35,3,2,22,1196138685
2,5,35,3,2,23,1346163771
2,5,35,3,2,24,1507912263
2,5,35,3,2,25,1681791303
2,5,35,3,2,26,1848754926
