charge_min,charge_max,maximum_length,max_var_mods,missed_cleavages,num_var_mods,search_space
1,5,35,3,2,0,22287368
1,5,35,3,2,1,63904568
1,5,35,3,2,2,89604440
1,5,35,3,2,3,130990944
1,5,35,3,2,4,199372532
1,5,35,3,2,5,329032448
1,5,35,3,2,6,689519328
1,5,35,3,2,7,1024408924
1,5,35,3,2,8,1228708580
1,5,35,3,2,9,1464423316
1,5,35,3,2,10,1746393076
1,5,35,3,2,11,2428642040
1,5,35,3,2,12,3182322228
1,5,35,3,2,13,4106565840
1,5,35,3,2,14,5100029324
1,5,35,3,2,15,6292390688
1,5,35,3,2,16,7550486764
1,5,35,3,2,17,9037088984
1,5,35,3,2,18,10705364604
1,5,35,3,2,19,12564668872
1,5,35,3,2,20,14624357036
1,5,35,3,2,21,16893784344
1,5,35,3,2,22,19382306044
1,5,35,3,2,23,22099277384
1,5,35,3,2,24,25054053612
1,5,35,3,2,25,28255989976
1,5,35,3,2,26,30375313144
2,5,35,3,2,0,16715526
2,5,35,3,2,1,47928426
2,5,35,3,2,2,67203330
2,5,35,3,2,3,98243208
2,5,35,3,2,4,149529399
2,5,35,3,2,5,246774336
2,5,35,3,2,6,517139496
2,5,35,3,2,7,768306693
2,5,35,3,2,8,921531435
2,5,35,3,2,9,1098317487
2,5,35,3,2,10,1309794807
2,5,35,3,2,11,1821481530
2,5,35,3,2,12,2386741671
2,5,35,3,2,13,3079924380
2,5,35,3,2,14,3825021993
2,5,35,3,2,15,4719293016
2,5,35,3,2,16,5662865073
2,5,35,3,2,17,6777816738
2,5,35,3,2,18,8029023453
2,5,35,3,2,19,9423501654
2,5,35,3,2,20,10968267777
2,5,35,3,2,21,12670338258
2,5,35,3,2,22,14536729533
2,5,35,3,2,23,16574458038
2,5,35,3,2,24,18790540209
2,5,35,3,2,25,21191992482
2,5,35,3,2,26,22781484858
